date,title,type,description,link
2024-04-10,Commission paves way for safe integration of ‘air taxis' and other innovative drone uses,News article,The Commission adopted a set of measures to address the unique safety challenges of new emerging air mobility concepts and services and ensure that their operations will be as safe as those in manned aviation.,https://transport.ec.europa.eu/news-events/news/commission-paves-way-safe-integration-air-taxis-and-other-innovative-drone-uses-2024-04-10_en
2024-04-04,New interactive page showcases positive impact of CEF Transport,News article,"As part of the activities linked to the tenth anniversary of the Connecting Europe Facility (CEF) Programme, CINEA launched a new interactive web-page to showcase the contribution of the CEF for Transport Programme to greening and decarbonising the transport sector.",https://transport.ec.europa.euhttps://cinea.ec.europa.eu/news-events/news/new-interactive-page-showcases-positive-impact-cef-transport-2024-04-04_en
2024-04-03,EU institutions commit to boost cycling across Europe,News article,The EU is taking another important step in reducing transport emissions by adopting the European Declaration on Cycling,https://transport.ec.europa.eu/news-events/news/eu-institutions-commit-boost-cycling-across-europe-2024-04-03_en
2024-04-03,Participatory conference on labour market developments and labour shortages in the transport sector in the European Union,News article,The Commission organises a participatory conference to enable discussions with and between relevant stakeholders on labour market developments,https://transport.ec.europa.eu/news-events/news/participatory-conference-labour-market-developments-and-labour-shortages-transport-sector-european-2024-04-03_en
2024-04-02,Call for applications for the selection of members of the European ITS Advisory Group,News article,The Commission’s Directorate-General for Mobility and Transport has launched a call for applications to select new members of the European ITS Advisory Group,https://transport.ec.europa.eu/news-events/news/call-applications-selection-members-european-its-advisory-group-2024-04-02_en
2024-04-02,Commissioner Vălean kicks off the Connecting Europe Days,News article,"The Commissioner for Transport, Adina Vălean, is participating in the four-day Connecting Europe Days taking place in Brussels from 2 to 5 April 2024",https://transport.ec.europa.eu/news-events/news/commissioner-valean-kicks-connecting-europe-days-2024-04-02_en
2024-03-26,EU and Moldova extend Road Transport Agreement until 31 December 2025,News article,The EU and Moldova decided today to extend the validity of their current road transport Agreement until 31 December 2025. The Agreement aims at helping Moldova access world markets by facilitating transit through EU countries and also further developing its links with the EU market.,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/IP_24_1721
2024-03-22,"EU and Ukraine continue strengthening Solidarity Lanes and cooperation on connectivity, safety and sustainability of transport",News article,"The third high-level meeting of the EU-Ukraine Transport Dialogue took place yesterday in Kyiv, focusing on efforts to keep Ukraine's exports and imports moving via the Solidarity Lanes, improving connectivity, safety and security as well as sustainability.",https://transport.ec.europa.eu/news-events/news/eu-and-ukraine-continue-strengthening-solidarity-lanes-and-cooperation-connectivity-safety-and-2024-03-22_en
2024-03-21,"Honours for Diversity and Inclusion in Maritime, 8 March 2024",News article,"The Belgian EU Presidency hosted the 'Conference on the Wellbeing of Seafarers' on International Women’s Day, March 8, 2024, featuring the 'Honours for Diversity and Inclusion in Maritime' award ceremony.",https://transport.ec.europa.eu/news-events/news/honours-diversity-and-inclusion-maritime-8-march-2024-2024-03-21_en
2024-03-21,Solidarity Lanes: Latest figures – February 2024,News article,"In the face of Russia’s war of aggression against Ukraine, the EU, together with Ukraine and Moldova launched the EU-Ukraine Solidarity Lanes in May 2022, establishing new transport routes to keep Ukraine’s imports and exports flowing via rail, road and inland waterways.",https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-february-2024-2024-03-21_en
2024-03-15,Budapest and online platform Nudgd recognised for green mobility activities in the European urban mobility awards,News article,"Budapest was awarded the European Mobility Week Award in a ceremony in Brussels last night, while online platform Nudgd won the Mobility Action award.",https://transport.ec.europa.eu/news-events/news/budapest-and-online-platform-nudgd-recognised-green-mobility-activities-european-urban-mobility-2024-03-15_en
2024-03-13,March infringements package: key decisions,News article,March infringements package: key decisions,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/inf_24_663
2024-03-13,Provisional agreement on better cross-border enforcement of road safety traffic rules,News article,The Commission welcomes the political agreement reached last night between the European Parliament and the Council on facilitating the enforcement of road traffic rules across borders.,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/IP_24_1401
2024-03-08,2023 figures show stalling progress in reducing road fatalities in too many countries,News article,"Road safety in the EU 2023: Around 20 400 people were killed in road crashes last year, a small 2% decrease on 2022.",https://transport.ec.europa.eu/news-events/news/2023-figures-show-stalling-progress-reducing-road-fatalities-too-many-countries-2024-03-08_en
2024-03-08,Save the date for the next edition of the EU Women in Rail Awards!,News article,"This April, the European Commission, together with Europe’s Rail, the European Union Agency for Railways, CER, UNIFE and ALE will launch the next edition of the EU Women in Rail Awards.",https://transport.ec.europa.eu/news-events/news/save-date-next-edition-eu-women-rail-awards-2024-03-08_en
2024-03-05,Commission proposes to prolong road transport agreements with Ukraine and Moldova and introduces updates to the agreement with Ukraine,News article,"The proposals, sent to the Council today, include updates to the agreement with Ukraine to improve its practical implementation and enforcement while maintaining its objectives and scope.",https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/ip_24_1305
2024-02-29,Commission makes €1bn available for recharging and refuelling points under the Connecting Europe Facility (CEF),News article,The Commission is launching a call for proposals under the Connecting Europe Facility – Alternative Fuels Infrastructure Facility (AFIF),https://transport.ec.europa.eu/news-events/news/commission-makes-eu1bn-available-recharging-and-refuelling-points-under-connecting-europe-facility-2024-02-29_en
