2025-06-19T12:00:00Z,New communication assesses market readiness of heavy-duty road transport vehicles,A Commission Communication assesses whether zero emission heavy duty vehicles are entering the market as expected at the time of adopting AFIR and whether the mandatory infrastructure deployment targets for HDV for the year 2030 as stipulated under AFIR are in line with the expected vehicle uptake.,News article,/news-events/news/new-communication-assesses-market-readiness-heavy-duty-road-transport-vehicles-2025-06-19_en
2025-06-18T12:00:00Z,June infringements package: key decisions,June infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_25_1241
2025-06-12T12:00:00Z,EU addressing military mobility challenges,"To improve the movement of military troops, equipment and assets across the European Union and beyond, the European Commission and the EU's High Representative, have started discussions with stakeholders to develop a Military Mobility Package.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1480
2025-06-12T12:00:00Z,Solidarity Lanes: EU and IOM enhance infrastructure at Ukrainian border crossing points,"Representatives from the European Commission, the International Organization for Migration (IOM) and Ukraine’s State Agency for Restoration and Infrastructure Development officially opened a lane for freight vehicles at Luzhanka border crossing point in Zakarpattia region.",News article,/news-events/news/solidarity-lanes-eu-and-iom-enhance-infrastructure-ukrainian-border-crossing-points-2025-06-12_en
2025-06-11T12:00:00Z,Solidarity Lanes: EU-funded scanner boosts throughput at Polish-Ukrainian border,A new EU-funded mobile cargo scanner inaugurated today will increase the capacity for transporting goods through the border crossing point in Krakovets-Korczowa at the Polish-Ukrainian border.,News article,/news-events/news/solidarity-lanes-eu-funded-scanner-boosts-throughput-polish-ukrainian-border-2025-06-11_en
2025-06-10T12:00:00Z,Deadline extended: Apply now for the Women in Rail Award 2025,"Individuals, companies and organisations can apply before 17 June 2025 (midnight CEST).",News article,/news-events/news/deadline-extended-apply-now-women-rail-award-2025-2025-06-10_en
2025-06-06T12:00:00Z,Recommendations to boost women’s participation in the EU transport sector,"In an effort to close the gender gap and address staff shortages within the EU transport sector, the Women in Transport – EU Platform for Change has unveiled a set of practical advice aimed at attracting and retaining women in the industry.",News article,/news-events/news/recommendations-boost-womens-participation-eu-transport-sector-2025-06-06_en
2025-06-03T12:00:00Z,"Commission updates EU Air Safety List, banning all air carriers certified in Tanzania and Suriname from operating in the EU","The Commission updated the EU Air Safety List, the list of airlines that are subject to an operating ban or operational restrictions within the European Union, because they do not meet international safety standards.",News article,/news-events/news/commission-updates-eu-air-safety-list-banning-all-air-carriers-certified-tanzania-and-suriname-2025-06-03_en
2025-05-28T12:00:00Z,Progress towards a green and digital tourism: Commission publishes stocktaking report ,The Commission has published its second report on the progress of actions set out in the Transition Pathway for Tourism – the first and most advanced of the transition pathways.,News article,/news-events/news/progress-towards-green-and-digital-tourism-commission-publishes-stocktaking-report-2025-05-28_en
2025-05-28T12:00:00Z,Solidarity Lanes: Latest figures – April 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-april-2025-2025-05-28_en
2025-05-22T12:00:00Z,Deadline extended: Call for applications for the selection of experts for the new Performance Review Board of the Single European Sky,"The recently adopted Regulation (EU) 2024/2803 on the implementation of the Single European Sky establishes a new Performance Review Board comprising seven members, including a chair, for which applications are now open.",News article,/news-events/news/deadline-extended-call-applications-selection-experts-new-performance-review-board-single-european-2025-05-22_en
2025-05-22T12:00:00Z,"Recommendations for Member States to help tackle transport poverty and promote fair, sustainable mobility",The Commission adopted a recommendation which proposes several measures to tackle the complex challenges of transport poverty across the EU.,News article,/news-events/news/recommendations-member-states-help-tackle-transport-poverty-and-promote-fair-sustainable-mobility-2025-05-22_en
2025-05-20T12:00:00Z,The Commission welcomes provisional agreement on new European Maritime Safety Agency mandate,The Commission welcomes the provisional political agreement reached today between the Parliament and the Council to update the EMSA mandate.,News article,/news-events/news/commission-welcomes-provisional-agreement-new-european-maritime-safety-agency-mandate-2025-05-20_en
2025-05-16T12:00:00Z,Vacancy for Assistants (establishment of a reserve list) (Contract Agent– FGIII) at the Europe's Rail Joint Undertaking (EU-RAIL),The deadline for applications is 05 June 2025 12:00 (Central European Time/ Brussels time),News article,https://rail-research.europa.eu/about-europes-rail/jobs/
2025-05-15T12:00:00Z,Commission and EU rail sector launch Women in Rail Award 2025,Apply before 17 June 2025!,News article,/news-events/news/commission-and-eu-rail-sector-launch-women-rail-award-2025-2025-05-15_en
2025-05-13T12:00:00Z,Deadline extended: Call for expressions of interest – Board of Appeal (European Union Agency for Railways),The deadline to submit an expression of interest is extended to 30 May 2025.,News article,https://transport.ec.europa.eu/facts-funding/calls-tenders/call-expressions-interest-board-appeal-european-union-agency-railways_en
2025-05-12T12:00:00Z,Commission launches call for evidence on Air Services Regulation revision,The Commission has launched a call for evidence to gather input from stakeholders on the upcoming revision of the Air Services Regulation,News article,/news-events/news/commission-launches-call-evidence-air-services-regulation-revision-2025-05-12_en
2025-05-07T12:00:00Z,May infringements package: key decisions,May infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_25_982
2025-05-07T12:00:00Z,Promoting competitive and attractive rail services: Commission adopts Guidelines on setting up charges for the use of railway infrastructure ,The European Commission today adopted Interpretative Guidelines on the setting up of charges for the use of railway infrastructure (‘track access charges’).,News article,/news-events/news/promoting-competitive-and-attractive-rail-services-commission-adopts-guidelines-setting-charges-use-2025-05-07_en
2025-04-29T12:00:00Z,Unbalanced tourism: which European destinations are potentially vulnerable?,New insights from the EU tourism dashboard on unbalanced tourism,General publications,/news-events/news/unbalanced-tourism-which-european-destinations-are-potentially-vulnerable-2025-04-29_en
2025-04-24T12:00:00Z,Call for applications for the selection of experts for the new Performance Review Board of the Single European Sky,"The recently adopted Regulation on the implementation of the Single European Sky establishes a new Performance Review Board (PRB) comprising seven members, including a chair, for which applications are now open.",News article,https://transport.ec.europa.eu/news-events/news/deadline-extended-call-applications-selection-experts-new-performance-review-board-single-european-2025-05-22_en
2025-04-24T12:00:00Z,"Updated rules for safer roads, less air pollution and digital vehicle documents","For better road safety and air quality across the EU, the Commission is proposing a comprehensive overhaul of the EU’s road safety and vehicle registration rules.",News article,/news-events/news/updated-rules-safer-roads-less-air-pollution-and-digital-vehicle-documents-2025-04-24_en
