date,title,desc,type,link
2025-06-23 12:00:00+00:00,Have your say on the upcoming EU sustainable tourism strategy,"Starting today, citizens are invited to have their say in the Commission’s open public consultation and call for evidence.",News article,/news-events/news/have-your-say-upcoming-eu-sustainable-tourism-strategy-2025-06-23_en
2025-06-19 12:00:00+00:00,New communication assesses market readiness of heavy-duty road transport vehicles,A Commission Communication assesses whether zero emission heavy duty vehicles are entering the market as expected at the time of adopting AFIR and whether the mandatory infrastructure deployment targets for HDV for the year 2030 as stipulated under AFIR are in line with the expected vehicle uptake.,News article,/news-events/news/new-communication-assesses-market-readiness-heavy-duty-road-transport-vehicles-2025-06-19_en
2025-06-18 12:00:00+00:00,June infringements package: key decisions,June infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_25_1241
2025-06-12 12:00:00+00:00,EU addressing military mobility challenges,"To improve the movement of military troops, equipment and assets across the European Union and beyond, the European Commission and the EU's High Representative, have started discussions with stakeholders to develop a Military Mobility Package.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1480
2025-06-12 12:00:00+00:00,Solidarity Lanes: EU and IOM enhance infrastructure at Ukrainian border crossing points,"Representatives from the European Commission, the International Organization for Migration (IOM) and Ukraine’s State Agency for Restoration and Infrastructure Development officially opened a lane for freight vehicles at Luzhanka border crossing point in Zakarpattia region.",News article,/news-events/news/solidarity-lanes-eu-and-iom-enhance-infrastructure-ukrainian-border-crossing-points-2025-06-12_en
2025-06-11 12:00:00+00:00,Solidarity Lanes: EU-funded scanner boosts throughput at Polish-Ukrainian border,A new EU-funded mobile cargo scanner inaugurated today will increase the capacity for transporting goods through the border crossing point in Krakovets-Korczowa at the Polish-Ukrainian border.,News article,/news-events/news/solidarity-lanes-eu-funded-scanner-boosts-throughput-polish-ukrainian-border-2025-06-11_en
2025-06-10 12:00:00+00:00,Deadline extended: Apply now for the Women in Rail Award 2025,"Individuals, companies and organisations can apply before 17 June 2025 (midnight CEST).",News article,/news-events/news/deadline-extended-apply-now-women-rail-award-2025-2025-06-10_en
2025-06-06 12:00:00+00:00,Recommendations to boost women’s participation in the EU transport sector,"In an effort to close the gender gap and address staff shortages within the EU transport sector, the Women in Transport – EU Platform for Change has unveiled a set of practical advice aimed at attracting and retaining women in the industry.",News article,/news-events/news/recommendations-boost-womens-participation-eu-transport-sector-2025-06-06_en
2025-06-03 12:00:00+00:00,"Commission updates EU Air Safety List, banning all air carriers certified in Tanzania and Suriname from operating in the EU","The Commission updated the EU Air Safety List, the list of airlines that are subject to an operating ban or operational restrictions within the European Union, because they do not meet international safety standards.",News article,/news-events/news/commission-updates-eu-air-safety-list-banning-all-air-carriers-certified-tanzania-and-suriname-2025-06-03_en
2025-05-28 12:00:00+00:00,Progress towards a green and digital tourism: Commission publishes stocktaking report ,The Commission has published its second report on the progress of actions set out in the Transition Pathway for Tourism – the first and most advanced of the transition pathways.,News article,/news-events/news/progress-towards-green-and-digital-tourism-commission-publishes-stocktaking-report-2025-05-28_en
